Date,12/31/03,12/31/03
Time,16:00:00,16:00:00
Y_Unit_Label,Acceleration (g),Acceleration (g)
X_Dimension,Time (s),Time (s)
X0,0.00E+00,0.00E+00
Delta_X,0.000488,0.000488
***End_of_Header***,,
X_Value,tapping near accel - sink cntr - Acceleration - platform,tapping near accel - sink cntr - Acceleration - table
0.196289,0.017194,-0.004
0.196777,0.015341,-0.003615
0.197266,0.014042,-0.00324
0.197754,0.009608,-0.002901
0.198242,0.004326,-0.002467
0.19873,0.00029,-0.001991
0.199219,-0.005009,-0.001669
0.199707,-0.010471,-0.001248
0.200195,-0.016756,-0.000477
0.200684,-0.020251,-0.000111
0.201172,-0.022415,0.000593
0.20166,-0.024505,0.001197
0.202148,-0.025698,0.001655
0.202637,-0.028394,0.002132
0.203125,-0.028263,0.002414
0.203613,-0.030437,0.002902
0.204102,-0.031721,0.003254
0.20459,-0.033274,0.003752
0.205078,-0.034085,0.003948
0.205566,-0.033753,0.004111
0.206055,-0.033122,0.00421
0.206543,-0.032601,0.004298
0.207031,-0.031182,0.004087
0.20752,-0.029113,0.00374
0.208008,-0.026695,0.003207
0.208496,-0.025803,0.002777
0.208984,-0.027027,0.002333
0.209473,-0.027257,0.001745
0.209961,-0.027219,0.001334
0.210449,-0.025308,0.001145
0.210937,-0.023429,0.000786
0.211426,-0.020302,0.000626
0.211914,-0.016862,0.000621
0.212402,-0.013895,0.000324
0.212891,-0.008585,1.57E-05
0.213379,-0.004682,-0.000106
0.213867,-0.000538,-0.000536
0.214355,0.004531,-0.000633
0.214844,0.007717,-0.000892
0.215332,0.010164,-0.001046
0.21582,0.011487,-0.001361
0.216309,0.013874,-0.00188
0.216797,0.017285,-0.002326
0.217285,0.019936,-0.002658
0.217773,0.02278,-0.002848
0.218262,0.024343,-0.003132
0.21875,0.026195,-0.003322
0.219238,0.026722,-0.003439
0.219727,0.027624,-0.003547
0.220215,0.027409,-0.003564
0.220703,0.027808,-0.003554
0.221191,0.028431,-0.003168
0.22168,0.029911,-0.003043
0.222168,0.031589,-0.002668
0.222656,0.032562,-0.002389
0.223145,0.03223,-0.002031
0.223633,0.032802,-0.00167
0.224121,0.031043,-0.00138
0.224609,0.028822,-0.001335
0.225098,0.027287,-0.000934
0.225586,0.023779,-0.000619
0.226074,0.020994,-0.000194
0.226562,0.017528,-7.06E-05
0.227051,0.015335,0.000419
0.227539,0.012841,0.000668
0.228027,0.009836,0.001055
0.228516,0.006622,0.001449
0.229004,0.002762,0.001826
0.229492,-1.55E-06,0.002302
0.22998,-0.003683,0.002643
0.230469,-0.008419,0.00316
0.230957,-0.011343,0.003593
0.231445,-0.015143,0.004035
0.231934,-0.018351,0.004467
0.232422,-0.020312,0.005066
0.23291,-0.022451,0.005128
0.233398,-0.024697,0.005523
0.233887,-0.026051,0.005407
0.234375,-0.030232,0.005254
0.234863,-0.03205,0.005102
0.235352,-0.033505,0.004767
0.23584,-0.035587,0.004088
0.236328,-0.036025,0.003617
0.236816,-0.036512,0.002742
0.237305,-0.034776,0.002434
0.237793,-0.033704,0.001812
0.238281,-0.032371,0.001269
0.23877,-0.032396,0.000779
0.239258,-0.030551,0.000583
